
2024-09-20 14:17:33,415 DEBUG selector_events Using selector: EpollSelector
2024-09-20 14:17:34,410 DEBUG selector_events Using selector: EpollSelector
2024-09-20 14:17:56,906 DEBUG selector_events Using selector: EpollSelector
2024-09-20 14:21:44,759 DEBUG http_protocol HTTP close for ['172.24.0.7', 60234]
2024-09-20 14:21:44,759 DEBUG http_protocol HTTP response complete for ['172.24.0.7', 60234]
2024-09-20 14:21:44,759 INFO runserver HTTP GET /api/v1/notifications/ 200 [0.12, 172.24.0.7:60234]
2024-09-20 14:21:44,761 DEBUG http_protocol HTTP 200 response started for ['172.24.0.7', 60246]
2024-09-20 14:21:44,762 DEBUG http_protocol HTTP close for ['172.24.0.7', 60246]
2024-09-20 14:21:44,762 DEBUG http_protocol HTTP response complete for ['172.24.0.7', 60246]
2024-09-20 14:21:44,762 INFO runserver HTTP GET /api/v1/chat/rooms/ 200 [0.05, 172.24.0.7:60246]
2024-09-20 14:21:44,763 DEBUG http_protocol HTTP 200 response started for ['172.24.0.7', 60230]
2024-09-20 14:21:44,764 DEBUG http_protocol HTTP close for ['172.24.0.7', 60230]
2024-09-20 14:21:44,768 DEBUG http_protocol HTTP response complete for ['172.24.0.7', 60230]
2024-09-20 14:21:44,768 INFO runserver HTTP GET /api/v1/users/me/ 200 [0.14, 172.24.0.7:60230]
2024-09-20 14:21:44,777 DEBUG http_protocol HTTP 200 response started for ['172.24.0.7', 60254]
2024-09-20 14:21:44,779 DEBUG http_protocol HTTP response chunk for ['172.24.0.7', 60254]
2024-09-20 14:21:44,779 DEBUG http_protocol HTTP response chunk for ['172.24.0.7', 60254]
2024-09-20 14:21:44,780 DEBUG http_protocol HTTP response chunk for ['172.24.0.7', 60254]
2024-09-20 14:21:44,780 DEBUG http_protocol HTTP response chunk for ['172.24.0.7', 60254]
2024-09-20 14:21:44,780 DEBUG http_protocol HTTP response chunk for ['172.24.0.7', 60254]
2024-09-20 14:21:44,780 DEBUG http_protocol HTTP response chunk for ['172.24.0.7', 60254]
2024-09-20 14:21:44,780 DEBUG http_protocol HTTP response chunk for ['172.24.0.7', 60254]
2024-09-20 14:21:44,780 DEBUG http_protocol HTTP response chunk for ['172.24.0.7', 60254]
2024-09-20 14:21:44,780 DEBUG http_protocol HTTP response chunk for ['172.24.0.7', 60254]
2024-09-20 14:21:44,781 DEBUG http_protocol HTTP close for ['172.24.0.7', 60254]
2024-09-20 14:21:44,781 DEBUG http_protocol HTTP response complete for ['172.24.0.7', 60254]
2024-09-20 14:21:44,781 INFO runserver HTTP GET /media/public/profile-images/00_img.jpg 200 [0.03, 172.24.0.7:60254]
2024-09-20 14:21:44,797 DEBUG http_protocol HTTP b'GET' request for ['172.24.0.7', 60256]
2024-09-20 14:21:44,800 DEBUG http_protocol HTTP b'GET' request for ['172.24.0.7', 60262]
2024-09-20 14:21:44,801 DEBUG http_protocol HTTP b'GET' request for ['172.24.0.7', 60278]
2024-09-20 14:21:44,804 DEBUG http_protocol HTTP b'GET' request for ['172.24.0.7', 60294]
2024-09-20 14:21:44,807 DEBUG http_protocol HTTP b'GET' request for ['172.24.0.7', 60306]
2024-09-20 14:21:44,810 DEBUG http_protocol HTTP b'GET' request for ['172.24.0.7', 60312]
2024-09-20 14:21:44,881 DEBUG http_protocol HTTP 200 response started for ['172.24.0.7', 60256]
2024-09-20 14:21:44,881 DEBUG http_protocol HTTP close for ['172.24.0.7', 60256]
2024-09-20 14:21:44,883 DEBUG http_protocol HTTP response complete for ['172.24.0.7', 60256]
2024-09-20 14:21:44,884 INFO runserver HTTP GET /api/v1/game/Tournament/ 200 [0.09, 172.24.0.7:60256]
2024-09-20 14:21:44,886 DEBUG http_protocol HTTP 301 response started for ['172.24.0.7', 60306]
2024-09-20 14:21:44,887 DEBUG http_protocol HTTP close for ['172.24.0.7', 60306]
2024-09-20 14:21:44,887 DEBUG http_protocol HTTP response complete for ['172.24.0.7', 60306]
2024-09-20 14:21:44,888 INFO runserver HTTP GET /api/v1/users/online-players 301 [0.08, 172.24.0.7:60306]
2024-09-20 14:21:44,890 DEBUG http_protocol HTTP 200 response started for ['172.24.0.7', 60262]
2024-09-20 14:21:44,891 DEBUG http_protocol HTTP close for ['172.24.0.7', 60262]
2024-09-20 14:21:44,891 DEBUG http_protocol HTTP response complete for ['172.24.0.7', 60262]
2024-09-20 14:21:44,891 INFO runserver HTTP GET /api/v1/users/friend-list 200 [0.09, 172.24.0.7:60262]
2024-09-20 14:21:44,894 DEBUG http_protocol HTTP 200 response started for ['172.24.0.7', 60312]
2024-09-20 14:21:44,895 DEBUG http_protocol HTTP close for ['172.24.0.7', 60312]
2024-09-20 14:21:44,895 DEBUG http_protocol HTTP response complete for ['172.24.0.7', 60312]
2024-09-20 14:21:44,895 INFO runserver HTTP GET /api/v1/game/Tournament-announcements/ 200 [0.09, 172.24.0.7:60312]
2024-09-20 14:21:44,897 DEBUG http_protocol HTTP 200 response started for ['172.24.0.7', 60278]
2024-09-20 14:21:44,898 DEBUG http_protocol HTTP close for ['172.24.0.7', 60278]
2024-09-20 14:21:44,899 DEBUG http_protocol HTTP response complete for ['172.24.0.7', 60278]
2024-09-20 14:21:44,899 INFO runserver HTTP GET /api/v1/users/me/ 200 [0.10, 172.24.0.7:60278]
2024-09-20 14:21:44,903 DEBUG http_protocol HTTP b'GET' request for ['172.24.0.7', 60318]
2024-09-20 14:21:44,907 DEBUG http_protocol HTTP 200 response started for ['172.24.0.7', 60294]
2024-09-20 14:21:44,909 DEBUG http_protocol HTTP close for ['172.24.0.7', 60294]
2024-09-20 14:21:44,909 DEBUG http_protocol HTTP response complete for ['172.24.0.7', 60294]
2024-09-20 14:21:44,910 INFO runserver HTTP GET /api/v1/users/top-players/ 200 [0.11, 172.24.0.7:60294]
2024-09-20 14:21:44,927 DEBUG http_protocol HTTP b'GET' request for ['172.24.0.7', 60326]
2024-09-20 14:21:44,943 DEBUG http_protocol HTTP 200 response started for ['172.24.0.7', 60318]
2024-09-20 14:21:44,944 DEBUG http_protocol HTTP close for ['172.24.0.7', 60318]
2024-09-20 14:21:44,944 DEBUG http_protocol HTTP response complete for ['172.24.0.7', 60318]
2024-09-20 14:21:44,944 INFO runserver HTTP GET /api/v1/users/online-players/ 200 [0.04, 172.24.0.7:60318]
2024-09-20 14:21:44,956 DEBUG http_protocol HTTP 200 response started for ['172.24.0.7', 60326]
2024-09-20 14:21:44,957 DEBUG http_protocol HTTP close for ['172.24.0.7', 60326]
2024-09-20 14:21:44,957 DEBUG http_protocol HTTP response complete for ['172.24.0.7', 60326]
2024-09-20 14:21:44,957 INFO runserver HTTP GET /api/v1/users/rank-logs/ 200 [0.03, 172.24.0.7:60326]
2024-09-20 14:21:45,006 DEBUG http_protocol HTTP b'GET' request for ['172.24.0.7', 60328]
2024-09-20 14:21:45,030 DEBUG http_protocol HTTP 200 response started for ['172.24.0.7', 60328]
2024-09-20 14:21:45,031 DEBUG http_protocol HTTP close for ['172.24.0.7', 60328]
2024-09-20 14:21:45,031 DEBUG http_protocol HTTP response complete for ['172.24.0.7', 60328]
2024-09-20 14:21:45,031 INFO runserver HTTP GET /api/v1/game/ongoing-tournaments/ 200 [0.03, 172.24.0.7:60328]
2024-09-20 14:21:45,043 DEBUG http_protocol HTTP b'GET' request for ['172.24.0.7', 60342]
2024-09-20 14:21:45,065 DEBUG http_protocol HTTP 200 response started for ['172.24.0.7', 60342]
2024-09-20 14:21:45,066 DEBUG http_protocol HTTP close for ['172.24.0.7', 60342]
2024-09-20 14:21:45,066 DEBUG http_protocol HTTP response complete for ['172.24.0.7', 60342]
2024-09-20 14:21:45,066 INFO runserver HTTP GET /api/v1/users/me/ 200 [0.02, 172.24.0.7:60342]
2024-09-20 14:21:51,502 DEBUG ws_protocol WebSocket closed for ['172.24.0.7', 60236]
2024-09-20 14:21:51,503 INFO runserver WebSocket DISCONNECT /ws/user/connect/ [172.24.0.7:60236]
2024-09-20 14:21:51,724 DEBUG http_protocol HTTP b'GET' request for ['172.24.0.7', 60344]
2024-09-20 14:21:51,728 DEBUG http_protocol HTTP b'GET' request for ['172.24.0.7', 60348]
2024-09-20 14:21:51,731 INFO runserver WebSocket HANDSHAKING /ws/user/connect/ [172.24.0.7:60358]
2024-09-20 14:21:51,732 DEBUG http_protocol Upgraded connection ['172.24.0.7', 60358] to WebSocket
2024-09-20 14:21:51,780 DEBUG http_protocol HTTP 200 response started for ['172.24.0.7', 60348]
2024-09-20 14:21:51,781 DEBUG http_protocol HTTP close for ['172.24.0.7', 60348]
